loss,params,iteration,estimators,time,ROC AUC
0.20736831237999043,"{'subsample': 0.9478863216104008, 'reg_lambda': 0.3812308722689935, 'class_weight': None, 'reg_alpha': 0.7821747127240357, 'metric': 'multi_logloss', 'min_child_samples': 175, 'colsample_bytree': 0.6096867105434599, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 240000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.17311294504060035, 'num_leaves': 119, 'objective': 'multiclass'}",86,589,1592.4666701589595,0.7926316876200096
0.2141914984030635,"{'subsample': 0.8421451951490475, 'reg_lambda': 0.13755113453069612, 'class_weight': None, 'reg_alpha': 0.8317994001514097, 'metric': 'multi_logloss', 'min_child_samples': 470, 'colsample_bytree': 0.6300770032610282, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 120000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.12754507999694334, 'num_leaves': 73, 'objective': 'multiclass'}",87,997,1789.8722829059698,0.7858085015969365
0.20746940274221137,"{'subsample': 0.8245383498624401, 'reg_lambda': 0.7002386468508556, 'class_weight': None, 'reg_alpha': 0.7668798524330626, 'metric': 'multi_logloss', 'min_child_samples': 230, 'colsample_bytree': 0.7493868856442655, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 140000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.13172621042604685, 'num_leaves': 135, 'objective': 'multiclass'}",88,682,1979.5789257219876,0.7925305972577886
0.21402163999577017,"{'subsample': 0.9342565797963529, 'reg_lambda': 0.6425520985795737, 'class_weight': None, 'reg_alpha': 0.8745086165039727, 'metric': 'multi_logloss', 'min_child_samples': 270, 'colsample_bytree': 0.7235083040534207, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 40000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.13605491722791363, 'num_leaves': 61, 'objective': 'multiclass'}",89,998,1683.0224784209859,0.7859783600042298
0.2094427279382044,"{'subsample': 0.9742937940885085, 'reg_lambda': 0.35142445923818993, 'class_weight': None, 'reg_alpha': 0.7050107433350076, 'metric': 'multi_logloss', 'min_child_samples': 385, 'colsample_bytree': 0.6425746787058177, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 80000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.12233137310407675, 'num_leaves': 150, 'objective': 'multiclass'}",90,650,2029.9371343139792,0.7905572720617956
0.21051923099654357,"{'subsample': 0.9040186182875023, 'reg_lambda': 0.6700203813194435, 'class_weight': None, 'reg_alpha': 0.8017398921978235, 'metric': 'multi_logloss', 'min_child_samples': 345, 'colsample_bytree': 0.8295522138871961, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 280000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.1894511318811209, 'num_leaves': 84, 'objective': 'multiclass'}",91,688,1275.9397667979938,0.7894807690034564
0.2052330670467164,"{'subsample': 0.7923637760511288, 'reg_lambda': 0.10386453280931812, 'class_weight': None, 'reg_alpha': 0.5911910513615201, 'metric': 'multi_logloss', 'min_child_samples': 60, 'colsample_bytree': 0.6715673930588232, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 160000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.15631884088935152, 'num_leaves': 109, 'objective': 'multiclass'}",92,683,1722.4068523590104,0.7947669329532836
0.2133165084563997,"{'subsample': 0.8663304434947251, 'reg_lambda': 0.7714898305114138, 'class_weight': None, 'reg_alpha': 0.6556982059798385, 'metric': 'multi_logloss', 'min_child_samples': 145, 'colsample_bytree': 0.7320327637253193, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 100000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.11371085558638634, 'num_leaves': 67, 'objective': 'multiclass'}",93,1000,1740.5974492640235,0.7866834915436003
0.22099727736413355,"{'subsample': 0.9539654433846454, 'reg_lambda': 0.2929265655671971, 'class_weight': None, 'reg_alpha': 0.6314665695898273, 'metric': 'multi_logloss', 'min_child_samples': 130, 'colsample_bytree': 0.6584738952440349, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 40000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.1415833547585914, 'num_leaves': 38, 'objective': 'multiclass'}",94,993,1370.2748374429648,0.7790027226358665
0.20610497332561262,"{'subsample': 0.9168257867616502, 'reg_lambda': 0.4800687400853537, 'class_weight': 'balanced', 'reg_alpha': 0.9149289705957919, 'metric': 'multi_logloss', 'min_child_samples': 100, 'colsample_bytree': 0.6931279142407546, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 100000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.14932443339495288, 'num_leaves': 91, 'objective': 'multiclass'}",95,922,2012.5957698169514,0.7938950266743874
0.21039085996161733,"{'subsample': 0.8960739743867348, 'reg_lambda': 0.5312851500238033, 'class_weight': None, 'reg_alpha': 0.18134315047193617, 'metric': 'multi_logloss', 'min_child_samples': 365, 'colsample_bytree': 0.6217455292081079, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 60000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.11091172397451202, 'num_leaves': 116, 'objective': 'multiclass'}",96,814,2138.7815578739974,0.7896091400383827
0.21312764000687223,"{'subsample': 0.9881831179271983, 'reg_lambda': 0.16342529167481137, 'class_weight': 'balanced', 'reg_alpha': 0.2891757557676591, 'metric': 'multi_logloss', 'min_child_samples': 50, 'colsample_bytree': 0.7854256716193174, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 20000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.1429474470081405, 'num_leaves': 47, 'objective': 'multiclass'}",97,1000,1397.1992628900334,0.7868723599931278
0.2115722331595038,"{'subsample': 0.7687355936507299, 'reg_lambda': 0.051712037292941715, 'class_weight': 'balanced', 'reg_alpha': 0.5398346350923788, 'metric': 'multi_logloss', 'min_child_samples': 420, 'colsample_bytree': 0.8480416992766451, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 120000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.17030949287825764, 'num_leaves': 97, 'objective': 'multiclass'}",98,621,1289.3856842109817,0.7884277668404962
0.20385132886642,"{'subsample': 0.8463636776101845, 'reg_lambda': 0.43018312546303294, 'class_weight': None, 'reg_alpha': 0.4137669904696901, 'metric': 'multi_logloss', 'min_child_samples': 25, 'colsample_bytree': 0.6012332878020726, 'n_jobs': 4, 'is_unbalance': True, 'encoding': 'label', 'subsample_for_bin': 80000, 'boosting_type': 'gbdt', 'verbosity': -1, 'device': 'gpu', 'num_class': 8, 'learning_rate': 0.1157439461149688, 'num_leaves': 125, 'objective': 'multiclass'}",99,815,1769.1568408629973,0.79614867113358
